country,year,Education_Tertiary
MMR,2020,
MNE,1990,
MNE,1991,
MNE,1992,
MNE,1993,
MNE,1994,
MNE,1995,
MNE,1996,
MNE,1997,
MNE,1998,
MNE,1999,
MNE,2000,18.111270904541001
MNE,2001,18.9315395355225
MNE,2002,17.718500137329102
MNE,2003,18.680089950561499
MNE,2004,22.109699249267599
MNE,2005,24.9292507171631
MNE,2006,29.194290161132798
MNE,2007,36.327491760253899
MNE,2008,43.55712890625
MNE,2009,51.660140991210902
MNE,2010,55.296348571777301
MNE,2011,59.011508941650398
MNE,2012,60.309249877929702
MNE,2013,60.434768676757798
MNE,2014,63.219638824462898
MNE,2015,63.937271118164098
MNE,2016,59.183921813964801
MNE,2017,60.910221099853501
MNE,2018,58.183151245117202
MNE,2019,56.263320922851598
MNE,2020,58.094470977783203
MNG,1990,18.552860260009801
MNG,1991,16.260929107666001
MNG,1992,14.437390327453601
MNG,1993,12.4017696380615
MNG,1994,12.822790145874
MNG,1995,14.1376399993897
MNG,1996,15.7019596099853
MNG,1997,17.720329284668001
MNG,1998,20.345500946044901
MNG,1999,25.9451408386231
MNG,2000,29.2760200500488
MNG,2001,33.286590576171903
MNG,2002,34.798110961914098
MNG,2003,36.878849029541001
MNG,2004,39.599990844726598
MNG,2005,43.483020782470703
MNG,2006,46.814830780029297
MNG,2007,46.977230072021499
MNG,2008,49.174598693847699
MNG,2009,53.180671691894503
MNG,2010,56.077678680419901
MNG,2011,56.748213383494701
MNG,2012,61.3067016601562
MNG,2013,64.817169189453097
MNG,2014,66.679229736328097
MNG,2015,70.358726501464801
MNG,2016,65.247711181640597
MNG,2017,64.405570983886705
MNG,2018,65.103050231933594
MNG,2019,67.970817565917997
MNG,2020,66.255746710774901
MNP,1990,
MNP,1991,
MNP,1992,
MNP,1993,
MNP,1994,
MNP,1995,
MNP,1996,
MNP,1997,
MNP,1998,
MNP,1999,
MNP,2000,
MNP,2001,
MNP,2002,
MNP,2003,
MNP,2004,
MNP,2005,
MNP,2006,
MNP,2007,
MNP,2008,
MNP,2009,
MNP,2010,
MNP,2011,
MNP,2012,
MNP,2013,
MNP,2014,
MNP,2015,
MNP,2016,
MNP,2017,
MNP,2018,
MNP,2019,
MNP,2020,
MOZ,1990,
MOZ,1991,
MOZ,1992,0.36842998862266502
MOZ,1993,0.40834999084472701
MOZ,1994,0.453289985656738
MOZ,1995,0.45010998845100397
MOZ,1996,0.47034999728202798
MOZ,1997,
MOZ,1998,
MOZ,1999,0.60234999656677202
MOZ,2000,0.61348998546600297
MOZ,2001,0.60258001089096103
MOZ,2002,0.68207997083663896
MOZ,2003,0.92852997779846203
MOZ,2004,1.1555099487304701
MOZ,2005,1.43202996253967
MOZ,2006,2.1277000904083301
MOZ,2007,3.0394699573516899
MOZ,2008,3.5193998813629199
MOZ,2009,3.8214600086212198
MOZ,2010,4.6029332896013999
MOZ,2011,4.9037034924149996
MOZ,2012,5.1995137335817896
MOZ,2013,5.59344755668074
MOZ,2014,6.2504913252799703
MOZ,2015,6.7318171770285904
MOZ,2016,7.3419730407701298
MOZ,2017,7.2457309919135602
MOZ,2018,7.4630510423432996
MOZ,2019,
MOZ,2020,
MRT,1990,3.0773799419403098
MRT,1991,2.7404799461364799
MRT,1992,2.9126501083374001
MRT,1993,3.51754999160767
MRT,1994,3.4855499267578098
MRT,1995,3.42460989952087
MRT,1996,3.7065598964691202
MRT,1997,3.9948699474334699
MRT,1998,3.9036099910736102
MRT,1999,4.1963400840759304
MRT,2000,
MRT,2001,3.4791400432586701
MRT,2002,3.0836501121521001
MRT,2003,3.2928199768066402
MRT,2004,3.34153008460998
MRT,2005,3.07908010482788
MRT,2006,3.4869899749755899
MRT,2007,3.9500200748443599
MRT,2008,4.0717902183532697
MRT,2009,4.1240901947021502
MRT,2010,4.6676963685347896
MRT,2011,5.0664717581293797
MRT,2012,5.4933507042599699
MRT,2013,5.79601450584933
MRT,2014,
MRT,2015,5.8842500127303499
MRT,2016,5.5624583432760897
MRT,2017,5.1561402014437503
MRT,2018,5.1327548077544796
MRT,2019,5.8882398646185097
MRT,2020,5.9719433002535904
MUS,1990,3.39674997329712
MUS,1991,4.0171399116516104
MUS,1992,
MUS,1993,5.9955601692199698
MUS,1994,5.4636402130126998
MUS,1995,5.9572200775146502
MUS,1996,6.6942701339721697
MUS,1997,6.5130801200866699
MUS,1998,
MUS,1999,9.5549602508544904
MUS,2000,10.6760301589966
MUS,2001,16.448570251464801
MUS,2002,15.1241102218628
MUS,2003,15.757729530334499
MUS,2004,17.285100936889599
MUS,2005,21.0529594421387
MUS,2006,23.6054592132568
MUS,2007,24.523849487304702
MUS,2008,27.0272006988525
MUS,2009,31.399379730224599
MUS,2010,33.0799908955061
MUS,2011,34.226505380956503
MUS,2012,40.3749497386409
MUS,2013,41.402395352538598
MUS,2014,40.038200423569499
MUS,2015,37.760738643162
MUS,2016,38.410769261726102
MUS,2017,39.661878656090202
MUS,2018,40.407809826196299
MUS,2019,42.9878710798151
MUS,2020,42.5378418595105
MWI,1990,0.51695001125335704
MWI,1991,0.53711998462677002
MWI,1992,0.54043000936508201
MWI,1993,0.53981000185012795
MWI,1994,0.574460029602051
MWI,1995,0.589349985122681
MWI,1996,0.59769999980926503
MWI,1997,
MWI,1998,
MWI,1999,0.30913999676704401
MWI,2000,0.33153998851776101
MWI,2001,0.36478000879287698
MWI,2002,0.385289996862411
MWI,2003,0.39151999354362499
MWI,2004,0.46270999312400801
MWI,2005,0.45329999923705999
MWI,2006,0.47940999269485501
MWI,2007,0.477120012044907
MWI,2008,
MWI,2009,
MWI,2010,1.2622588983210801
MWI,2011,1.5518303717475399
MWI,2012,0.83882028117041496
MWI,2013,
MWI,2014,0.82777786722116098
MWI,2015,0.809801002249246
MWI,2016,
MWI,2017,
MWI,2018,1.6942403485732001
MWI,2019,
MWI,2020,2.4021738073213399
MYS,1990,7.2577700614929199
MYS,1991,8.0601501464843803
MYS,1992,9.1637697219848597
